"compiler","mode","order","comparison","n","ratio","lo","hi"
"gcc","lat","blocked","Exp 4: 16-key fusion vs 16-key B-tree",2048,2.7517220113852,2.74900652852682,2.77013831059172
"gcc","tput","blocked","Exp 4: 16-key fusion vs 16-key B-tree",2048,5.28366467642106,5.26908924145311,5.45450319324383
"clang","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",2048,2.57291675901873,2.56688282114121,2.58885006756077
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",2048,2.7314862290378,2.71870803980356,2.73787486799205
"clang","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",2048,5.02590070861436,5.00275050778605,5.02753487786187
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",2048,5.1874091431795,5.16397394415993,5.21610914560515
"gcc","lat","blocked","Exp 4: 16-key fusion vs 8-key fusion",2048,0.976687312485818,0.97531870962535,0.987873971593671
"gcc","tput","blocked","Exp 4: 16-key fusion vs 8-key fusion",2048,0.906450795913964,0.902904403142589,0.911357047753048
"clang","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",2048,0.981169903626556,0.980854685555075,0.991312996681256
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",2048,0.962609716426489,0.953159919340338,0.966844048978831
"clang","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",2048,0.874713761990552,0.871003060875355,0.879927831395915
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",2048,0.877981205178321,0.872678527105751,0.892800226267725
"gcc","lat","blocked","Exp 4: 16-key fusion vs best B-tree",2048,2.7517220113852,2.74900652852682,2.77013831059172
"gcc","tput","blocked","Exp 4: 16-key fusion vs best B-tree",2048,5.28366467642106,5.26908924145311,5.45450319324383
"clang","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",2048,2.57291675901873,2.56688282114121,2.58885006756077
"gcc","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",2048,2.7314862290378,2.71870803980356,2.73787486799205
"clang","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",2048,5.02590070861436,5.00275050778605,5.02753487786187
"gcc","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",2048,5.1874091431795,5.16397394415993,5.21610914560515
"gcc","lat","blocked","original fusion vs binary search",2048,3.1882504213654,3.11165403498184,3.18840083374174
"gcc","tput","blocked","original fusion vs binary search",2048,8.01722023098367,8.01186778176026,8.03056994008041
"clang","lat","shuffled","original fusion vs binary search",2048,1.5044937756537,1.50234066787057,1.52715267804342
"gcc","lat","shuffled","original fusion vs binary search",2048,3.26524820184212,3.25553851052129,3.27365029042186
"clang","tput","shuffled","original fusion vs binary search",2048,1.39309686597091,1.38869684202946,1.4101338307249
"gcc","tput","shuffled","original fusion vs binary search",2048,8.18325030935685,8.15727817332121,8.2322153917983
"gcc","lat","blocked","original fusion vs branch-free B-tree",2048,1.88450148750937,1.86567802949906,1.88685403191709
"gcc","tput","blocked","original fusion vs branch-free B-tree",2048,2.95959679175224,2.93031380765081,3.02098502356013
"clang","lat","shuffled","original fusion vs branch-free B-tree",2048,1.76220764854614,1.75107884591469,1.78341390324212
"gcc","lat","shuffled","original fusion vs branch-free B-tree",2048,1.91777418136326,1.90973889479386,1.91876422058479
"clang","tput","shuffled","original fusion vs branch-free B-tree",2048,2.72561461961735,2.66125175635369,2.83891568180614
"gcc","tput","shuffled","original fusion vs branch-free B-tree",2048,2.94340559324839,2.91703752722861,3.02046326889688
"gcc","lat","blocked","branch-free rank vs original rank",4096,1.1092562734391,1.10376155647669,1.12172324485135
"gcc","tput","blocked","branch-free rank vs original rank",4096,1.07731740600835,1.06338367137697,1.08147549905389
"clang","lat","shuffled","branch-free rank vs original rank",4096,1.04334326730814,1.03053850025164,1.05194427493364
"gcc","lat","shuffled","branch-free rank vs original rank",4096,1.1053211440097,1.103712311646,1.1099071742202
"clang","tput","shuffled","branch-free rank vs original rank",4096,1.01513965210552,1.01010975163758,1.01949877385011
"gcc","tput","shuffled","branch-free rank vs original rank",4096,1.05771891376846,1.05551883176928,1.06181892896501
"gcc","lat","blocked","compact 128-B node vs 184-B node",4096,0.965804571312573,0.962904211796793,0.96833542128425
